1,1,2,2,2,2,1
1,2,1,1,2,2,1
1,2,2,2,2,2,1
1,2,2,2,3,2,1
1,2,2,3,2,1,0.5
1,2,2,3,2,3,0.5
1,2,2,5,1,2,1
1,2,3,2,2,1,1
1,2,3,2,3,2,1
1,2,3,3,2,2,1
1,2,4,2,2,3,1
1,3,1,2,2,2,1
1,3,1,2,3,2,1
1,3,1,3,2,1,1
1,3,2,1,2,4,1
1,3,2,1,3,2,1
1,3,2,2,2,1,1
1,3,2,2,3,1,1
1,3,2,2,4,2,1
1,3,2,3,2,3,0.5
1,3,2,3,2,4,0.5
1,3,3,3,3,3,1
1,3,3,4,3,3,1
1,3,3,4,4,3,0.33333
1,3,3,4,4,4,0.66667
1,3,3,6,3,3,1
1,3,4,1,3,1,1
1,3,4,2,2,2,1
1,3,4,2,3,3,1
1,3,4,3,3,4,0.5
1,3,4,3,3,6,0.5
1,3,4,3,7,3,1
1,3,5,2,3,4,1
1,3,5,2,4,6,1
1,3,6,1,4,4,1
1,3,6,3,4,4,1
1,4,2,4,2,3,1
1,4,2,4,3,4,1
1,4,3,2,1,3,1
1,4,3,3,2,2,1
1,4,3,3,4,3,0.2
1,4,3,3,4,4,0.8
1,4,3,4,4,4,1
1,4,4,2,2,3,1
1,4,4,2,4,4,1
1,4,4,2,5,1,1
1,4,4,3,1,3,1
1,4,4,4,2,3,1
1,4,4,4,3,6,1
1,4,4,4,4,3,0.16667
1,4,4,4,4,4,0.66667
1,4,4,4,4,6,0.16667
1,4,4,4,5,1,1
1,4,4,4,6,1,0.33333
1,4,4,4,6,4,0.66667
1,4,4,5,1,5,1
1,4,4,6,2,4,1
1,4,6,1,5,5,1
1,5,1,4,4,4,1
1,5,3,2,4,4,1
1,5,5,1,3,6,1
1,5,6,3,6,1,1
1,5,6,6,3,4,1
1,6,1,4,3,3,1
1,6,1,4,4,4,1
1,6,2,3,3,4,1
1,6,4,1,4,6,1
1,6,4,4,3,6,1
1,6,4,6,4,6,1
1,7,2,7,3,6,1
1,7,3,7,2,8,1
1,9,1,3,4,3,1
1,9,1,9,1,9,0.7
1,9,1,9,1,10,0.3
1,9,1,10,1,9,0.5
1,9,1,10,1,10,0.5
1,9,6,4,4,4,1
1,10,1,9,1,3,0.25
1,10,1,9,1,9,0.5
1,10,1,9,1,10,0.25
1,10,1,10,1,9,1
2,1,1,2,2,2,1
2,1,2,1,1,2,1
2,1,2,4,2,2,1
2,1,3,1,2,2,0.5
2,1,3,1,2,3,0.5
2,1,3,2,1,2,1
2,1,3,2,2,2,0.33333
2,1,3,2,2,3,0.33333
2,1,3,2,2,4,0.33333
2,1,3,2,3,2,1
2,1,3,3,3,3,1
2,1,3,4,1,3,1
2,1,3,4,2,2,1
2,1,3,5,2,3,1
2,1,4,3,2,1,1
2,1,4,3,4,4,1
2,1,6,4,6,4,1
2,2,1,3,2,1,0.25
2,2,1,3,2,2,0.5
2,2,1,3,2,3,0.25
2,2,1,3,4,1,0.5
2,2,1,3,4,2,0.5
2,2,1,4,3,2,1
2,2,2,1,3,2,0.5
2,2,2,1,3,4,0.5
2,2,2,2,1,3,1
2,2,2,2,2,2,0.90587
2,2,2,2,2,3,0.017719
2,2,2,2,2,4,0.074197
2,2,2,2,2,6,0.0022148
2,2,2,2,3,1,0.090909
2,2,2,2,3,2,0.59091
2,2,2,2,3,3,0.18182
2,2,2,2,3,4,0.13636
2,2,2,2,4,2,0.81013
2,2,2,2,4,3,0.037975
2,2,2,2,4,4,0.13924
2,2,2,2,4,10,0.012658
2,2,2,2,6,2,0.5
2,2,2,2,6,4,0.5
2,2,2,3,1,2,1
2,2,2,3,2,1,0.052632
2,2,2,3,2,2,0.73684
2,2,2,3,2,3,0.15789
2,2,2,3,2,4,0.052632
2,2,2,3,3,2,0.16667
