1,0.020027
2,0.0075656
3,0.014686
4,0.012906
5,0.00089008
6,0.048509
7,0.030263
8,0.05385
9,0.051624
10,0.00044504
11,0.021362
12,0.022697
13,0.037828
14,0.022252
16,0.048954
17,0.039163
18,0.079662
19,0.049399
20,0.0013351
21,0.064085
22,0.041834
23,0.080997
24,0.056075
25,0.0022252
26,0.026257
27,0.023142
28,0.031153
29,0.020917
30,0.00044504
31,0.0062305
32,0.0048954
33,0.0097908
34,0.0044504
35,0.00044504
36,0.0022252
37,0.0022252
38,0.0057855
39,0.0022252
41,0.00089008
42,0.00044504
43,0.0022252
46,0.0053405
47,0.0066756
48,0.0089008
49,0.026702
