1,1,8,17,17,0.00014261
1,1,8,17,23,0.00014261
1,1,14,19,3,0.00014261
1,1,28,32,11,0.00014261
1,3,1,39,36,0.00014261
1,3,6,34,31,0.00014261
1,3,7,13,11,0.00028523
1,3,7,33,32,0.00014261
1,3,26,6,8,0.00014261
1,3,38,39,6,0.00014261
1,4,1,38,37,0.00014261
1,4,1,38,41,0.00014261
1,4,3,37,43,0.00014261
1,4,6,6,24,0.00014261
1,4,6,9,21,0.00014261
1,4,6,11,13,0.00014261
1,4,6,31,33,0.00014261
1,4,6,33,32,0.00028523
1,4,8,2,8,0.00014261
1,6,8,17,7,0.00014261
1,6,9,21,1,0.00014261
1,6,9,28,32,0.00014261
1,6,9,28,34,0.00014261
1,6,9,41,23,0.00014261
1,6,31,24,16,0.00014261
1,6,33,39,3,0.00014261
1,6,34,38,7,0.00014261
1,8,1,32,32,0.00014261
1,8,2,31,33,0.00014261
1,8,2,33,31,0.00014261
1,8,6,11,17,0.00014261
1,8,6,12,13,0.00014261
1,8,6,14,21,0.00014261
1,8,6,26,29,0.00014261
1,8,6,29,26,0.00014261
1,8,7,33,31,0.00014261
1,8,9,26,33,0.00014261
1,8,16,14,11,0.00014261
1,8,17,17,7,0.00014261
1,8,17,23,21,0.00014261
1,8,31,24,18,0.00014261
1,8,32,28,21,0.00014261
1,9,6,11,13,0.00014261
1,9,6,13,14,0.00014261
1,9,6,26,29,0.00014261
1,9,6,28,27,0.00014261
1,9,6,29,28,0.00014261
1,9,8,12,30,0.00014261
1,9,8,17,8,0.00014261
1,9,8,19,8,0.00014261
1,9,8,27,28,0.00028523
1,9,8,29,31,0.00014261
1,9,11,13,16,0.00014261
1,9,21,21,24,0.00014261
1,9,21,28,17,0.00014261
1,9,31,38,6,0.00014261
1,9,31,38,7,0.00014261
1,11,9,8,12,0.00014261
1,11,12,4,9,0.00014261
1,11,14,13,12,0.00014261
1,12,8,23,24,0.00014261
1,13,7,8,14,0.00014261
1,13,11,14,11,0.00014261
1,13,11,16,12,0.00014261
1,13,27,17,27,0.00014261
1,14,11,1,9,0.00014261
1,14,19,3,9,0.00014261
1,16,19,23,22,0.00014261
1,16,21,24,21,0.00014261
1,16,24,28,19,0.00014261
1,18,2,6,8,0.00014261
1,18,22,3,6,0.00014261
1,18,22,23,26,0.00014261
1,19,21,21,4,0.00014261
1,23,22,23,1,0.00014261
1,23,27,18,17,0.00014261
1,23,29,18,22,0.00014261
1,24,26,16,18,0.00014261
