1,0.010997
2,0.012463
3,0.020528
4,0.010264
5,0.0021994
6,0.048387
7,0.028592
8,0.060117
9,0.043988
10,0.0029326
11,0.044721
12,0.021994
13,0.03739
14,0.03739
15,0.0036657
16,0.041056
17,0.043988
18,0.064516
19,0.040323
20,0.0043988
21,0.047654
22,0.029326
23,0.04912
24,0.043255
25,0.005132
26,0.027859
27,0.019062
28,0.032991
29,0.016129
30,0.0021994
31,0.016129
32,0.0080645
33,0.0036657
34,0.010264
36,0.0080645
37,0.0029326
38,0.0029326
39,0.005132
40,0.00073314
41,0.0029326
43,0.00073314
44,0.0029326
46,0.016862
47,0.010997
48,0.020528
49,0.033724
50,0.00073314
