0.0,400,200
0.4,400,455
0.8,400,360
1.2,200,455
1.4,400,200
1.8,600,300
2.4,300,200
2.7,100,455
2.8,400,360
3.2,400,455
3.6,500,200
4.1,400,360
4.5,100,455
4.6,400,200
5.0,600,455
5.6,200,360
5.8,400,455
6.2,400,200
6.6,400,300
7.0,400,200
7.4,400,455
7.8,400,360
8.2,600,455
8.8,200,360
9.0,400,455
9.4,400,200
9.8,400,300
10.2,400,200
10.6,400,455
11.0,600,360
11.6,400,200
12.0,400,300
12.4,400,200
12.8,400,455
13.2,600,360
13.8,400,200
14.2,400,300
14.6,400,200
15.0,600,455
15.6,600,360
16.2,400,200
16.6,400,300
17.0,400,200
17.4,400,455
17.8,600,360
18.4,400,200
18.8,400,300
19.2,400,200
19.6,600,455
20.2,600,360
20.8,400,200
21.2,400,300
21.6,400,200
22.0,400,455
22.4,400,360
22.8,400,455
23.2,400,200
23.6,400,300
24.0,400,200
24.4,400,455
24.8,400,360
25.2,400,455
25.6,400,200
26.0,400,300
26.4,400,200
26.8,400,455
27.2,600,360
27.8,400,200
28.2,400,300
28.6,400,200
29.0,600,455
29.6,400,360
30.0,400,455
30.4,600,200
31.0,300,360
31.3,700,455
32.0,300,360
32.3,400,455
32.7,600,200
33.3,0,360
