444.7,300,H,8
445.1,300,H,7
445.4,300,H,6
445.7,300,H,5
446.2,300,S,4
446.5,300,H,3
446.8,300,S,2
447.3,300,P,1
447.6,300,H,0
447.8,200,H,2
448.0,200,H,1
448.2,200,H,0
448.5,300,H,1
449.0,300,P,0
451.0,200,S,10
451.2,200,S,9
451.4,200,S,8
451.6,200,S,7
451.8,200,S,6
452.0,200,S,5
452.2,200,S,4
452.4,200,S,3
452.6,200,S,2
452.8,200,S,1
453.0,200,S,0
455.7,300,P,8
456.0,300,P,7
456.3,300,P,6
456.6,300,P,5
456.9,300,P,4
457.2,300,P,3
457.5,300,P,2
457.8,300,P,1
458.1,300,P,0
458.3,200,S,9
458.5,200,S,8
458.7,200,S,7
458.9,200,S,6
459.1,200,S,5
459.3,200,S,4
459.5,200,S,3
459.7,200,S,2
459.9,200,S,1
460.1,200,S,0
460.4,300,P,1
460.7,300,P,0
461.1,400,P,5
461.5,400,P,4
461.9,400,P,3
462.3,400,P,2
462.7,400,P,1
463.1,400,P,0
463.4,300,S,2
463.7,300,S,1
464.0,300,H,0
464.4,400,S,10
464.8,400,S,9
465.2,400,S,8
465.6,400,S,7
466.0,400,S,6
466.4,400,S,5
466.8,400,S,4
467.2,400,S,3
467.6,400,S,2
468.0,400,S,1
468.4,400,S,0
468.9,500,S,4
469.5,500,S,3
470.5,500,T,2
471.0,500,H,1
471.4,500,H,0
471.7,300,S,4
472.0,300,H,3
472.9,300,P,2
473.2,300,S,1
473.5,300,S,0
473.9,200,S,5
474.1,200,S,4
474.3,200,S,3
474.5,200,S,2
474.7,200,H,1
474.9,200,H,0
456.0,300,P,7
456.3,300,P,6
456.6,300,P,5
456.9,300,P,4
457.2,300,P,3
457.5,300,P,2
457.8,300,P,1
458.1,300,P,0
458.3,200,S,9
458.5,200,S,8
458.7,200,S,7
458.9,200,S,6
459.1,200,S,5
459.3,200,S,4
459.5,200,S,3
459.7,200,S,2
459.9,200,S,1
460.1,200,S,0
464.4,400,S,10
464.8,400,S,9
465.2,400,S,8
465.6,400,S,7
466.0,400,S,6
466.4,400,S,5
466.8,400,S,4
467.2,400,S,3
467.6,400,S,2
468.0,400,S,1
468.4,400,S,0
468.9,500,S,4
469.5,500,S,3
470.5,500,T,2
471.0,500,H,1
471.4,500,H,0
471.7,300,S,4
472.0,300,H,3
472.9,300,P,2
473.2,300,S,1
473.5,300,S,0
473.9,200,S,5
474.1,200,S,4
474.3,200,S,3
474.5,200,S,2
474.7,200,H,1
474.9,200,H,0
458.3,200,S,9
458.5,200,S,8
458.7,200,S,7
458.9,200,S,6
459.1,200,S,5
459.3,200,S,4
459.5,200,S,3
459.7,200,S,2
459.9,200,S,1
460.1,200,S,0
460.4,300,P,1
460.7,300,P,0
461.1,400,P,5
461.5,400,P,4
461.9,400,P,3
462.3,400,P,2
462.7,400,P,1
463.1,400,P,0
463.4,300,S,2
463.7,300,S,1
464.0,300,H,0
444.7,300,H,8
